1,CLO/1,O1,2,2015-04-04,21.45
1,STA/2,O1,10,2015-04-04,3.25
1,CLO/1,O1,2,2015-04-04,21.0
1,MUG/1,O1,3,2015-04-04,22.0
2,STA/1,PUBLIC,1,2013-09-29,23.0
3,STA/2,R64565FG4,2,2013-09-30,24.0
4,STA/1,F42563743156,20,2015-03-23,5.75
5,STA/1,F42563743156,20,2015-03-24,5.75
6,CLO/1,O1,20,2015-04-03,21.45
6,STA/2,O1,4,2015-04-03,3.25
7,CLO/1,O1,1,2015-04-03,21.45
7,STA/2,O1,5,2015-04-03,3.25
8,MUG/1,PUBLIC,2,2015-04-05,10.25
8,CLO/1,PUBLIC,2,2015-04-05,21.45
9,CLO/1,D44587962,1,2015-04-05,21.45
10,CLO/1,D44587962,1,2015-04-05,21.45
11,CLO/1,O1,1,2015-04-05,21.45
12,CLO/4,PUBLIC,2,2015-04-05,2999.0
13,CLO/4,PUBLIC,1,2015-04-05,2999.0
14,CLO/4,R23456789,5,2015-04-05,2999.0
